orginal;stemed;;
aba;ababil;;
ababil;ababil;;
abad;abad;;
abadi;abadi;;
keabadian;abadi;;
abai;abai;;
abaikan;abai;;
terabaikan;abai;;
mengabaikan;abai;;
diabaikan;abai;;
abang;abang;;
mengabdilah;abdi;;
abdularknd;xyz;;
abg;abg;;
abri;abri;;
abrik;abri;;
absolut;absolut;;
absoluttak;absolut;;
abu;abu;;
abubakarali;abubakarali;;
acak;acak;;
diacakacak;acak;;
acakacakan;acak acakan;;
acara;acara;;
acaraku;acara;;
acarane;acara;;
acaranya;acara;;
acr;acara;;
acra;acara;;
ceremony;acara;;
even;acara;;
event;acara;;
eventgigs;acara;;
eventyk;acara;;
diacara;acara;;
acc;acc;;
aceh;aceh;;
acnan;acnan;;
acuh;acuh;;
acungan;acung;;
acungkan;acung;;
mengacungkan;acung;;
ad;ada;;
brad;ada;;
brada;ada;;
adakah;ada;;
ana;ada;;
anane;ada;;
wonten;ada;;
pengadaan;ada;;
ono;ada;;
onone;ada;;
ngadain;ada;;
mengadakan;ada;;
eneng;ada;;
enenge;ada;;
adamnurrahman;ada mnurrahman;;
adlah;adalah;;
adlh;adalah;;
adat;adat;;
adatnya;adat;;
add;add;;
additional;additional;;
adek;adek;;
adeeem;adem;;
adem;adem;;
ademmm;adem;;
adi;adi;;
adieu;adi;;
adihydrant;adi hydrant;;
adigang;adigang;;
adiguna;adiguna;;
adigung;adigung;;
adiknya;adik;;
adimu;adik;;
ketidakadilan;adil;;
berkeadilan;adil;;
adil;adil;;
pengadilan;adil;;
peradilan;adil;;
ngadili;adil;;
keadilan;adil;;
diadili;adil;;
adilmenyejahterakan;adil sejahtera;;
adiluhung;adiluhung;;
adipura;adipura;;
adisucipto;adisucipto;;
adisucito;adisucipto;;
adisumarmo;adisumarmo;;
adit;adit;;
aditjondro;aditjondro;;
adjikusumo;adjikusumo;;
admin;admin;;
admine;admin;;
administrafit;administrasi;;
administrasi;administrasi;;
administratif;administrasi;;
adonan;adonan;;
adonara;adonara;;
adu;adu;;
adukan;adu;;
aduh;aduh;;
aduk;aduk;;
adus;adus;;
adv;advertorial;;
advertorial;advertorial;;
advokasi;advokasi;;
advokasine;advokasi;;
advokasikemasyarakatan;advokasi kemasyarakatan;;
aerosol;aerosol;;
apdoll;afdol;;
affandi;affandi;;
afgan;afgan;;
afiat;afiat;;
afriansyah;afriansyah;;
afso;afso;;
rada;agak;;
rodo;agak;;
rodok;agak;;
agen;agen;;
agennya;agen;;
agenda;agenda;;
diagendakan;agenda;;
ageng;ageng;;
agraria;agraria;;
agree;agree;;
agung;agung;;
agungleak;xyz;;
agungportal;xyz;;
agus;xyz;;
agusnoor;xyz;;
agust;agustus;;
agustinus;xyz;;
agustus;agustus;;
ahad;ahad;;
ahli;ahli;;
ahmad;ahmad;;
aidit;aidit;;
aina;aina;;
ainun;ainun;;
air;air;;
airmu;air;;
pengairan;air;;
airpot;airpot;;
ajak;ajak;;
ajakan;ajak;;
ajakin;ajak;;
ngajak;ajak;;
ngajakin;ajak;;
ngejak;ajak;;
mengajak;ajak;;
diajak;ajak;;
diajakin;ajak;;
dijak;ajak;;
dijaki;ajak;;
ajang;ajang;;
ajar;ajar;;
ngajari;ajar;;
mengajarkan;ajar;;
diajar;ajar;;
diajari;ajar;;
dipelajari;ajar;;
ajeng;ajeng;;
aji;aji;;
ajian;ajian;;
ajib;ajib;;
pengajuan;aju;;
ajukan;ajukan;;
akademisi;akademisi;;
akal;akal;;
mengakali;akal;;
diakali;akal;;
akamsi;akamsi;;
akn;akan;;
seakan;akan;;
akar;akar;;
diakehi;akeh;;
ahir;akhir;;
ahirnya;akhir;;
akhirakhir;akhir;;
akhire;akhir;;
akhirat;akhirat;;
akhlaq;akhlaq;;
akhmad;akhmad;;
akibat;akibat;;
akibatnya;akibat;;
mngakibtkan;akibat;;
akindo;akindo;;
akses;akses;;
mengakses;akses;;
diakses;akses;;
beraksi;aksi;;
aksi;aksi;;
aksiku;aksi;;
aksimu;aksi;;
aktif;aktif;;
aktifkan;aktif;;
aktifis;aktivis;;
aktivif;aktivis;;
aktivis;aktivis;;
aktivissimpatisan;aktivis simpatisan;;
beraktifitas;aktivitas;;
berkreatifitas;aktivitas;;
aktivitas;aktivitas;;
aktivitasnya;aktivitas;;
aktor;aktor;;
aktual;aktual;;
ngaku;aku;;
akui;akui;;
akuifer;akuifer;;
akun;akun;;
akune;akun;;
akunnya;akun;;
akur;akur;;
akurat;akurat;;
ala;ala;;
alam;alam;;
alamallamnya;alam;;
alamlah;alam;;
alammu;alam;;
alamnya;alam;;
alamu;alam;;
alm;alam;;
dialami;alam;;
alambudaya;alam budaya;;
alamlingkungan;alam lingkungan;;
alamrakyat;alam rakyat;;
alamat;alamat;;
alami;alami;;
alangkah;alangkah;;
beralasan;alasan;;
alasan;alasan;;
alasannya;alasan;;
alaska;alaska;;
alat;alat;;
alate;alat;;
album;album;;
dialbum;album;;
aleman;aleman;;
alfaatikhah;alfaatikhah;;
alfin;alfin;;
alhamdulilah;alhamdulillah;;
alhamdulillah;alhamdulillah;;
ali;ali;;
aliansi;aliansi;;
alias;alias;;
alibi;alibi;;
alien;alien;;
beralih;alih;;
alih;alih;;
alihkan;alih;;
pengalihan;alih;;
dialihkan;alih;;
mili;alir;;
milii;alir;;
aliran;aliran;;
aluran;aliran;;
alive;alive;;
allah;allah;;
allahuakbar;allahuakbar;;
allengland;allengland;;
allstar;allstar;;
alokasikan;alokasi;;
aloud;aloud;;
already;sudah;;
also;also;;
altar;altar;;
alternatif;alternatif;;
alun;alunalun;;
alunalun;alunalun;;
dialunalun;alunalun;;
always;always;;
aman;aman;;
amankan;aman;;
keamanan;aman;;
amanah;amanah;;
amarah;amarah;;
amarga;amarga;;
amargi;amargi;;
amarto;amarto;;
pengamat;amat;;
pengamatan;amat;;
ngamati;amat;;
mengamati;amat;;
amazing;amazing;;
amazon;amazon;;
ambal;ambal;;
ambangun;bangun;;
ambarrukmo;ambarukmo;;
ambrukno;ambarukmo;;
ambil;ambil;;
mengambil;ambil;;
diambil;ambil;;
berambisi;ambisi;;
ambisi;ambisi;;
amblas;amblas;;
amboko;amboko;;
ambruk;ambruk;;
diambrukke;ambruk;;
dibrukne;ambruk;;
amburadul;amburadul;;
ambyar;ambyar;;
ambyarr;ambyar;;
amdal;amdal;;
ameh;ameh;;
amergo;amergo;;
amerika;amerika;;
amrik;amerika;;
diamrik;amerika;;
aamiin;amin;;
amiiin;amin;;
amiiinn;amin;;
amiin;amin;;
amin;amin;;
amini;amin;;
aminn;amin;;
aminnn;amin;;
